Compound,ConvertedDate,Negative,Neutral,Positive,RawDate,Text,TimeDiff,Tweets Ago,User
0.0772,2018-10-03 21:27:15+00:00,0.0,0.936,0.064,Wed Oct 03 21:27:15 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,0,@BBC
0.0772,2018-10-03 21:27:13+00:00,0.0,0.936,0.064,Wed Oct 03 21:27:13 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,1,@BBC
0.0772,2018-10-03 21:27:12+00:00,0.0,0.936,0.064,Wed Oct 03 21:27:12 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,2,@BBC
-0.5267,2018-10-03 21:27:08+00:00,0.206,0.794,0.0,Wed Oct 03 21:27:08 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,3,@BBC
-0.5267,2018-10-03 21:27:07+00:00,0.206,0.794,0.0,Wed Oct 03 21:27:07 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,4,@BBC
-0.0258,2018-10-03 21:27:06+00:00,0.211,0.655,0.135,Wed Oct 03 21:27:06 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,5,@BBC
-0.5267,2018-10-03 21:27:03+00:00,0.206,0.794,0.0,Wed Oct 03 21:27:03 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,6,@BBC
-0.5267,2018-10-03 21:27:03+00:00,0.206,0.794,0.0,Wed Oct 03 21:27:03 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,7,@BBC
-0.8625,2018-10-03 21:26:58+00:00,0.39,0.61,0.0,Wed Oct 03 21:26:58 +0000 2018,"RT @otivar55: @YouthVote17 @TheCanaryUK @wrightismight @bbclaurak @BBC I am bloody livid.

It’s fcking insulting to every one 
Absolutely d…",0,8,@BBC
-0.5267,2018-10-03 21:26:56+00:00,0.206,0.794,0.0,Wed Oct 03 21:26:56 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,9,@BBC
